response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00065,R21B00065,R21R1F00046,52,R21A00051,R21A00048;R21A00050,"1144,1201,1168,1207","1144,1201,1168,1207","1024,1135,1193,1207",local_response_unit_not_complete_vehicle
R21B00066,R21B00066,R21R1F00045,52,R21A00048;R21A00050,R21A00051,"1024,1135,1193,1189","1024,1135,1193,1189","1024,1135,1193,1207",local_response_unit_not_complete_vehicle
R21B00067,R21B00067,R21R1F00047,60,R21A00053,R21A00054,"1126,1207,1186,1243","1126,1207,1186,1243","1126,1207,1192,1267",local_response_unit_not_complete_vehicle
R21B00068,R21B00068,R21R1F00048,60,R21A00054,R21A00053,"1162,1249,1192,1267","1162,1249,1192,1267","1126,1207,1192,1267",local_response_unit_not_complete_vehicle
R21B00069,R21B00069,R21R1F00049,77,R21A00055,R21A00056;R21A00057;R21A00058;R21A00059;R21A00060,"1146,1133,1266,1163","1146,1133,1266,1163","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00070,R21B00070,R21R1F00050,77,R21A00056,R21A00055;R21A00057;R21A00058;R21A00060,"1146,1187,1248,1271","1146,1187,1248,1271","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00071,R21B00071,R21R1F00051,77,R21A00057,R21A00055;R21A00056;R21A00058;R21A00059;R21A00060,"1224,1169,1254,1187","1224,1169,1254,1187","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00072,R21B00072,R21R1F00052,77,R21A00058,R21A00055;R21A00056;R21A00057;R21A00059;R21A00060,"1260,1151,1284,1187","1260,1151,1284,1187","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00073,R21B00073,R21R1F00053,77,R21A00059,R21A00055;R21A00057;R21A00058;R21A00060,"1284,1133,1302,1145","1284,1133,1302,1145","1146,1133,1332,1199",local_response_unit_not_complete_vehicle
R21B00074,R21B00074,R21R1F00054,77,R21A00060,R21A00055;R21A00056;R21A00057;R21A00058;R21A00059,"1296,1175,1332,1199","1296,1175,1332,1199","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00075,R21B00075,R21R1F00049,77,R21A00055;R21A00056,R21A00057;R21A00058;R21A00059;R21A00060,"1146,1133,1266,1271","1146,1133,1266,1271","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00076,R21B00076,R21R1F00049,77,R21A00055;R21A00057,R21A00056;R21A00058;R21A00059;R21A00060,"1146,1133,1266,1187","1146,1133,1266,1187","1146,1133,1332,1271",local_response_unit_not_complete_vehicle
R21B00077,R21B00077,R21R1F00055,78,R21A00062,R21A00063;R21A00065;R21A00066;R21A00067,"1170,1187,1248,1271","1170,1187,1248,1271","1146,1175,1326,1271",local_response_unit_not_complete_vehicle
R21B00078,R21B00078,R21R1F00056,78,R21A00063,R21A00062;R21A00064;R21A00065;R21A00067,"1224,1175,1260,1187","1224,1175,1260,1187","1170,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00079,R21B00079,R21R1F00057,78,R21A00064,R21A00063;R21A00065;R21A00067,"1290,1133,1308,1151","1290,1133,1308,1151","1224,1133,1326,1205",local_response_unit_not_complete_vehicle
R21B00080,R21B00080,R21R1F00058,78,R21A00065,R21A00062;R21A00063;R21A00064;R21A00067,"1302,1175,1326,1199","1302,1175,1326,1199","1170,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00081,R21B00081,R21R1F00059,78,R21A00066,R21A00062;R21A00067,"1146,1247,1164,1271","1146,1247,1164,1271","1146,1187,1254,1271",local_response_unit_not_complete_vehicle
R21B00082,R21B00082,R21R1F00060,78,R21A00067,R21A00062;R21A00063;R21A00064;R21A00065;R21A00066,"1242,1193,1254,1205","1242,1193,1254,1205","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
R21B00083,R21B00083,R21R1F00055,78,R21A00062;R21A00063,R21A00064;R21A00065;R21A00066;R21A00067,"1170,1175,1260,1271","1170,1175,1260,1271","1146,1133,1326,1271",local_response_unit_not_complete_vehicle
