atom_id,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,pixel_area,support_pixel_count,support_bbox,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,atom_axis1,atom_axis2,atom_aspect_ratio,atom_orientation,compactness,local_arc_consistency,boundary_contact,extraction_threshold,threshold_provenance,source_shell_provenance
R1A0136,260,1237.304348,1142.043478,23.835901,206.144547,23,23,"1233.000,1138.000,1245.000,1150.000",1629,70.826087,82,0.001388,12.121427,6.370313,1.902799,-66.596391,0.159722,0,true,65,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0137,260,1206.037037,1219.796296,25.190752,122.745033,108,108,"1197.000,1198.000,1233.000,1234.000",8219,76.101852,115,0.007004,38.098888,30.123224,1.264768,48.628622,0.083333,0.478392,false,65,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0138,262,1163.46708,1195.539117,4.244298,138.214417,1291,1291,"1107.000,1138.000,1227.000,1264.000",111816,86.611929,207,0.083543,137.486814,108.020444,1.272785,71.810158,0.085384,0,true,73,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0139,262,1244.0625,1142.0625,25.534208,208.953064,16,16,"1239.000,1138.000,1251.000,1150.000",1222,76.375,82,0.000913,9.874745,7.760332,1.272464,-83.280024,0.111111,0,true,73,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0140,262,1209.247423,1220.206186,26.754833,123.573029,97,97,"1203.000,1192.000,1215.000,1234.000",8406,86.659794,124,0.006281,41.38556,6.920387,5.980238,84.412132,0.19246,0,false,73,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0141,263,1168.919936,1196.517214,6.197954,138.162155,1249,1249,"1107.000,1138.000,1263.000,1258.000",102424,82.004804,190,0.080174,132.637356,121.64902,1.090328,84.090563,0.06672,0,true,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0142,263,1212.777778,1219.79798,28.102938,125.554413,99,99,"1203.000,1192.000,1227.000,1234.000",8186,82.686869,130,0.006408,41.036867,8.800936,4.662785,85.724587,0.098214,0,false,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0143,269,1179.285226,1192.586678,10.73635,143.686279,1171,1171,"1107.000,1138.000,1245.000,1246.000",101700,86.848847,175,0.075716,135.335705,113.038969,1.197248,56.631381,0.07857,0,true,73,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0144,269,1250.928571,1147.642857,27.919098,207.06218,14,14,"1245.000,1138.000,1257.000,1156.000",1159,82.785714,96,0.000863,14.621984,8.333687,1.754564,86.255713,0.064815,0,true,73,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0145,269,1268.352941,1142.588235,31.308317,220.074463,17,17,"1263.000,1138.000,1281.000,1150.000",1333,78.411765,89,0.000992,15.20664,11.52207,1.319784,-54.552965,0.078704,0,true,73,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
