pair_plan_id,pair_type,physical_vehicle_id,frame_a,frame_b,split_a,split_b,aspect_difference_deg,range_difference_m,time_difference_frames,aspect_same_threshold_deg,aspect_different_threshold_deg,similar_range_threshold_m,minimum_time_separation_frames,pair_selection_basis,response_fields_reserved_for_evaluate
E0R3_PAIR_0069,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,339,calibration,calibration,17.150153,2.643047,22,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0070,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,340,calibration,calibration,17.110141,2.808928,23,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0071,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,341,calibration,calibration,17.162072,2.731447,24,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0072,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,342,calibration,calibration,18.562526,2.827901,25,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0073,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,343,calibration,calibration,19.1407,2.931056,26,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0074,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,344,calibration,calibration,20.107994,3.018674,27,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0075,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,345,calibration,calibration,20.806263,3.035978,28,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0076,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,346,calibration,calibration,21.944988,3.147855,29,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0077,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,347,calibration,calibration,23.458112,3.229912,30,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0078,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,348,calibration,calibration,23.593798,3.363156,31,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
