edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_compatibility,background_arc_conflict
R2E00250,220,R1A0105,R1A0106,0,71.953843,47.350235,14.868223,60.382486,38.472255,true,false
R2E00251,224,R1A0107,R1A0108,0,54.332309,26.654373,17.506508,28.036544,16.419059,true,false
R2E00252,224,R1A0107,R1A0109,0,85.087716,7.768478,29.010036,88.769803,51.779865,true,false
R2E00253,224,R1A0108,R1A0109,12,36.76487,18.885895,11.503528,60.733259,3.153644,true,false
R2E00254,227,R1A0110,R1A0111,6,99.623089,20.559128,31.98095,5.782195,71.626455,false,false
R2E00255,227,R1A0110,R1A0112,30,117.173234,11.831879,39.602119,7.311361,81.452467,false,false
R2E00256,227,R1A0110,R1A0113,0,53.548569,27.290313,18.060263,86.61297,14.225935,true,false
R2E00257,227,R1A0110,R1A0114,0,84.137285,13.767913,30.435862,2.953589,90.430194,false,false
R2E00258,227,R1A0111,R1A0112,6,25.886412,8.727249,7.621169,1.529166,1.137184,true,false
R2E00259,227,R1A0111,R1A0113,115.412304,145.21697,47.849441,50.041213,87.604835,5.034921,false,false
