core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0011,34,R1A0033,endpoint_hotspot_candidate,uncertain_bbox_membership,36,99.344979,false,true,false,0.370585,near_but_not_decisive_optional_response
R2C0011,34,R1A0034,endpoint_hotspot_candidate,include_in_bbox,6,68.828586,false,true,false,0.175494,near_core_compatible_optional_response
R2C0012,34,R1A0028,unresolved_atom,uncertain_bbox_membership,36,119.189118,false,true,false,0.406753,near_but_not_decisive_optional_response
R2C0012,34,R1A0031,side_ridge_candidate,exclude_from_bbox,90,173.471583,false,true,false,0.552622,too_far_or_would_expand_blank_area
R2C0012,34,R1A0032,unresolved_atom,include_in_bbox,0,50.80859,false,true,false,0.126972,near_core_compatible_optional_response
R2C0012,34,R1A0033,endpoint_hotspot_candidate,include_in_bbox,6,85.175029,false,true,false,0.302837,near_core_compatible_optional_response
R2C0013,34,R1A0028,unresolved_atom,include_in_bbox,0,50.055072,false,true,false,0.793137,near_core_compatible_optional_response
R2C0013,34,R1A0029,unresolved_atom,uncertain_bbox_membership,30.594117,113.468532,false,true,false,0.84127,near_but_not_decisive_optional_response
R2C0013,34,R1A0030,body_core_candidate,uncertain_bbox_membership,36,128.404037,false,true,false,0.560166,near_but_not_decisive_optional_response
R2C0013,34,R1A0032,unresolved_atom,include_in_bbox,0,78.446791,false,true,false,0.794667,near_core_compatible_optional_response
R2C0013,34,R1A0034,endpoint_hotspot_candidate,include_in_bbox,6,81.493556,false,true,false,0.796444,near_core_compatible_optional_response
R2C0014,39,R1A0035,side_ridge_candidate,exclude_from_bbox,78.917679,155.804257,false,true,false,0.581799,too_far_or_would_expand_blank_area
R2C0014,39,R1A0036,background_arc_candidate,exclude_from_bbox,24.738634,115.851459,false,false,true,0.410496,background_arc_conflict
R2C0014,39,R1A0037,background_arc_candidate,exclude_from_bbox,18,82.599596,false,false,true,0,background_arc_conflict
R2C0014,39,R1A0039,isolated_small_atom,include_in_bbox,0,67.106063,false,true,false,0.054054,near_core_compatible_optional_response
R2C0014,39,R1A0040,endpoint_hotspot_candidate,uncertain_bbox_membership,30,83.430581,false,true,false,0.286787,near_but_not_decisive_optional_response
R2C0014,39,R1A0041,endpoint_hotspot_candidate,include_in_bbox,6,56.692659,false,true,false,0.036036,near_core_compatible_optional_response
R2C0015,39,R1A0035,side_ridge_candidate,uncertain_bbox_membership,21.633308,130.588539,false,true,false,0.544974,near_but_not_decisive_optional_response
R2C0015,39,R1A0036,background_arc_candidate,exclude_from_bbox,6,96.34827,false,false,true,0.361135,background_arc_conflict
R2C0015,39,R1A0037,background_arc_candidate,exclude_from_bbox,18,87.40511,false,false,true,0.335106,background_arc_conflict
R2C0015,39,R1A0039,isolated_small_atom,include_in_bbox,0,47.586486,false,true,false,0.225225,near_core_compatible_optional_response
R2C0016,39,R1A0036,background_arc_candidate,exclude_from_bbox,0,55.568073,false,false,true,0.688889,background_arc_conflict
R2C0016,39,R1A0037,background_arc_candidate,exclude_from_bbox,54,126.896348,false,false,true,0.830108,background_arc_conflict
R2C0016,39,R1A0038,body_core_candidate,uncertain_bbox_membership,30,129.963741,false,true,false,0.566138,near_but_not_decisive_optional_response
R2C0016,39,R1A0039,isolated_small_atom,uncertain_bbox_membership,6,67.839,false,true,false,0.844156,near_but_not_decisive_optional_response
