family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00132,276,R21B00201,R21B00203,0.343891,34.205263,0.5,overlap,nested_same_core_variant,true,,SL000276_001,true
R21R1F00132,276,R21B00202,R21B00203,0.343891,34.205263,0.5,overlap,nested_same_core_variant,true,,SL000276_001,true
R21R1F00133,276,R21B00198,R21B00198,1,0,1,equal,single_member_family,true,,SL000276_001,false
R21R1F00134,276,R21B00199,R21B00199,1,0,1,equal,single_member_family,true,,SL000276_002,false
R21R1F00135,276,R21B00200,R21B00200,1,0,1,equal,single_member_family,true,,SL000276_003,false
R21R1F00136,278,R21B00204,R21B00207,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000278_001,true
R21R1F00137,278,R21B00205,R21B00205,1,0,1,equal,single_member_family,true,,SL000278_001,false
R21R1F00138,278,R21B00206,R21B00206,1,0,1,equal,single_member_family,true,,SL000278_002,false
R21R1F00139,279,R21B00208,R21B00212,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000279_001,true
R21R1F00140,279,R21B00209,R21B00209,1,0,1,equal,single_member_family,true,,SL000279_001,false
R21R1F00141,279,R21B00210,R21B00210,1,0,1,equal,single_member_family,true,,SL000279_002,false
R21R1F00142,279,R21B00211,R21B00211,1,0,1,equal,single_member_family,true,,SL000279_003,false
R21R1F00143,280,R21B00213,R21B00216,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000280_001,true
R21R1F00144,280,R21B00214,R21B00214,1,0,1,equal,single_member_family,true,,SL000280_001,false
R21R1F00145,280,R21B00215,R21B00215,1,0,1,equal,single_member_family,true,,SL000280_002,false
R21R1F00146,281,R21B00217,R21B00219,0.022321,82.540899,0,none,nested_same_core_variant,true,,SL000281_001,true
R21R1F00146,281,R21B00217,R21B00221,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000281_001,true
