edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00104,52,R21A00048,R21A00050,0,69.458879,11.751862,19.953842,36.947161,21.297521,unresolved_local_response,true,false,accepted_local_relation
R21GE00105,52,R21A00048,R21A00051,12,58.961859,55.367218,10.210042,10.524813,62.635417,role_ambiguous,false,false,blocked_by_role
R21GE00106,52,R21A00049,R21A00050,66,96.234685,89.112152,13.667507,46.156895,10.458383,background_conflict_relation,false,true,ambiguous_relation
R21GE00107,52,R21A00049,R21A00051,6,24.135085,21.993073,3.923706,1.315079,30.757812,background_conflict_relation,false,true,blocked_by_background
R21GE00108,52,R21A00050,R21A00051,55.317267,72.355937,67.11908,9.743801,47.471974,2.940972,role_ambiguous,false,false,blocked_by_role
R21GE00109,60,R21A00052,R21A00053,12,76.275928,76.184067,6.161734,8.778012,2.207381,background_conflict_relation,false,true,blocked_by_background
R21GE00110,60,R21A00052,R21A00054,54,115.520276,104.053513,25.972758,15.032148,79.243636,background_conflict_relation,false,true,ambiguous_relation
R21GE00111,60,R21A00053,R21A00054,6,41.689432,27.869446,19.811024,6.254136,35.899394,role_ambiguous,false,false,blocked_by_role
R21GE00112,77,R21A00055,R21A00056,24,77.805142,69.312752,13.952855,31.179563,1.887474,unresolved_local_response,true,false,accepted_local_relation
R21GE00113,77,R21A00055,R21A00057,6,55.565654,16.844391,17.369636,5.889773,12.914274,unresolved_local_response,true,false,accepted_local_relation
R21GE00114,77,R21A00055,R21A00058,0,81.261368,6.247391,24.695413,88.778219,16.403184,role_ambiguous,false,false,blocked_by_role
R21GE00115,77,R21A00055,R21A00059,18,100.544852,46.886139,24.373788,36.545061,17.901906,role_ambiguous,false,false,blocked_by_role
R21GE00116,77,R21A00055,R21A00060,32.310989,127.966861,26.226929,36.428578,8.707275,45.108757,role_ambiguous,false,false,blocked_by_role
R21GE00117,77,R21A00056,R21A00057,0,54.197751,52.468361,3.41678,37.069336,6.842095,body_to_side,true,false,accepted_local_relation
R21GE00118,77,R21A00056,R21A00058,12,81.494582,75.560143,10.742558,57.598656,8.69055,unresolved_local_response,true,false,accepted_local_relation
