independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0104,GM_RM019,276,276,"1115,1140,1271,1242","1115,1140,1271,1242",3,R21B00196;R21B00201;R21B00202,R21B00196,true
GM019IG0105,GM_RM019,280,280,"1115,1140,1277,1236","1115,1140,1277,1236",1,R21B00213,R21B00213,true
GM019IG0106,GM_RM019,280,280,"1115,1140,1277,1266","1115,1140,1277,1266",1,R21B00216,R21B00216,true
GM019IG0107,GM_RM019,279,279;281,"1115,1140,1283,1236","1115,1140,1283,1236",3,R21B00208;R21B00217;R21B00222,R21B00208,true
GM019IG0108,GM_RM019,279,279;281,"1115,1140,1283,1266","1115,1140,1283,1266",3,R21B00212;R21B00221;R21B00224,R21B00212,true
GM019IG0109,GM_RM019,284,284,"1115,1140,1301,1236","1115,1140,1301,1236",1,R21B00225,R21B00225,true
GM019IG0110,GM_RM019,284,284,"1115,1140,1301,1266","1115,1140,1301,1266",1,R21B00230,R21B00230,true
GM019IG0111,GM_RM019,260,260,"1117,1201,1189,1255","1117,1201,1189,1255",1,R21B00151,R21B00151,true
GM019IG0112,GM_RM019,260,260,"1117,1201,1218,1255","1117,1201,1218,1255",1,R21B00155,R21B00155,true
GM019IG0113,GM_RM019,278,278,"1121,1140,1277,1236","1121,1140,1277,1236",1,R21B00204,R21B00204,true
GM019IG0114,GM_RM019,278,278,"1121,1140,1277,1266","1121,1140,1277,1266",1,R21B00207,R21B00207,true
GM019IG0115,GM_RM019,60,60,"1126,1207,1186,1243","1126,1207,1186,1243",1,R21B00067,R21B00067,true
GM019IG0116,GM_RM019,270,270,"1137,1204,1185,1258","1137,1204,1185,1258",1,R21B00168,R21B00168,true
GM019IG0117,GM_RM019,40,40,"1138,1135,1168,1153","1138,1135,1168,1153",1,R21B00058,R21B00058,true
GM019IG0118,GM_RM019,271,271,"1143,1198,1251,1252","1143,1198,1251,1252",1,R21B00181,R21B00181,true
GM019IG0119,GM_RM019,269,269,"1143,1204,1185,1258","1143,1204,1185,1258",1,R21B00160,R21B00160,true
GM019IG0120,GM_RM019,271,271,"1143,1210,1197,1252","1143,1210,1197,1252",1,R21B00176,R21B00176,true
GM019IG0121,GM_RM019,272,272,"1143,1210,1197,1270","1143,1210,1197,1270",1,R21B00184,R21B00184,true
GM019IG0122,GM_RM019,52,52,"1144,1201,1168,1207","1144,1201,1168,1207",1,R21B00065,R21B00065,true
GM019IG0123,GM_RM019,77,77;80,"1146,1133,1266,1163","1146,1133,1266,1163",2,R21B00069;R21B00092,R21B00069,true
GM019IG0124,GM_RM019,77,77,"1146,1133,1266,1187","1146,1133,1266,1187",1,R21B00076,R21B00076,true
GM019IG0125,GM_RM019,80,80,"1146,1133,1266,1241","1146,1133,1266,1241",1,R21B00098,R21B00098,true
GM019IG0126,GM_RM019,77,77;80,"1146,1133,1266,1271","1146,1133,1266,1271",2,R21B00075;R21B00099,R21B00075,true
GM019IG0127,GM_RM019,288,288;289,"1146,1138,1308,1228","1146,1138,1308,1228",2,R21B00231;R21B00236,R21B00231,true
GM019IG0128,GM_RM019,288,288;289,"1146,1138,1308,1240","1146,1138,1308,1240",2,R21B00235;R21B00241,R21B00235,true
GM019IG0129,GM_RM019,289,289,"1146,1138,1308,1270","1146,1138,1308,1270",1,R21B00242,R21B00242,true
GM019IG0130,GM_RM019,290,290,"1146,1138,1314,1228","1146,1138,1314,1228",1,R21B00244,R21B00244,true
GM019IG0131,GM_RM019,290,290,"1146,1138,1314,1240","1146,1138,1314,1240",1,R21B00247,R21B00247,true
GM019IG0132,GM_RM019,290,290,"1146,1138,1314,1282","1146,1138,1314,1282",2,R21B00248;R21B00250,R21B00248,true
GM019IG0133,GM_RM019,77,77,"1146,1187,1248,1271","1146,1187,1248,1271",1,R21B00070,R21B00070,true
GM019IG0134,GM_RM019,290,290,"1146,1192,1236,1282","1146,1192,1236,1282",1,R21B00249,R21B00249,true
GM019IG0135,GM_RM019,289,289,"1146,1210,1224,1270","1146,1210,1224,1270",1,R21B00243,R21B00243,true
